Category,Description,Nutrient Data Bank Number,Alpha Carotene,Beta Carotene,Beta Cryptoxanthin,Carbohydrate,Cholesterol,Choline,Fiber,Lutein and Zeaxanthin,Lycopene,Niacin,Protein,Retinol,Riboflavin,Selenium,Sugar Total,Thiamin,Water,Fat.Monosaturated Fat,Fat.Polysaturated Fat,Fat.Saturated Fat,Fat.Total Lipid,Major Minerals.Calcium,Major Minerals.Copper,Major Minerals.Iron,Major Minerals.Magnesium,Major Minerals.Phosphorus,Major Minerals.Potassium,Major Minerals.Sodium,Major Minerals.Zinc,Vitamins.Vitamin A - RAE,Vitamins.Vitamin B12,Vitamins.Vitamin B6,Vitamins.Vitamin C,Vitamins.Vitamin E,Vitamins.Vitamin K
Alcohol,"Wine, light, nonalcoholic",92802000,0,0,0,1.1,0,5,0,0,0,0.1,0.5,0,0.01,0.2,1.1,0,98.2,0,0,0,0,9,0.011,0.4,10,15,88,7,0.08,0,0,0.02,0,0,0
Alcohol,"Wine, table, white",93401020,0,0,0,2.6,0,4.3,0,0,0,0.108,0.07,0,0.015,0.1,0.96,0.005,86.86,0,0,0,0,9,0.004,0.27,10,18,71,5,0.12,0,0,0.05,0,0,0.4
Alcohol,"Wine, table, red",93401010,0,1,0,2.61,0,5.7,0,6,0,0.224,0.07,0,0.031,0.2,0.62,0.005,86.49,0,0,0,0,8,0.011,0.46,12,23,127,4,0.14,0,0,0.057,0,0,0.4
Alcohol,"Beer, light",93102000,0,0,0,1.64,0,8.8,0,0,0,0.391,0.24,0,0.015,0.4,0.09,0.005,94.88,0,0,0,0,4,0.006,0.03,5,12,21,4,0.01,0,0.02,0.034,0,0,0
Alcohol,"Beer, light, higher alcohol",93102200,0,0,0,0.77,0,8.8,0,0,0,0.391,0.25,0,0.015,0.4,0.09,0.005,92.88,0,0,0,0,4,0.006,0.03,5,12,21,4,0.01,0,0.02,0.034,0,0,0
Alcohol,Cereal beverage,92203000,0,0,0,1,0,0.2,0.3,2,0,0.226,0.08,0,0.001,0.8,0.06,0.005,98.73,0.005,0.016,0.008,0.03,4,0.013,0.06,4,7,31,5,0.02,0,0,0.01,0,0.01,0
Alcohol,Beer,93101000,0,0,0,3.55,0,10.1,0,0,0,0.513,0.46,0,0.025,0.6,0,0.005,91.96,0,0,0,0,4,0.005,0.02,6,14,27,4,0.01,0,0.02,0.046,0,0,0
Alcohol,"Beer, low carb",93102100,0,0,0,0.73,0,0,0,0,0,0,0.17,0,0,0,0,0,95.4,0,0,0,0,4,0.002,0,4,8,17,3,0.01,0,0,0,0,0,0
Alcohol,"Beer, higher alcohol",93102300,0,0,0,0.27,0,10.1,0,0,0,1.1,0.9,0,0.09,0.6,0,0.03,91,0,0,0,0,8,0.008,0.03,12,32,62,4,0.01,0,0.02,0.09,0,0,0
Alcohol,Vodka,93505000,0,0,0,0,0,0,0,0,0,0.013,0,0,0.004,0,0,0.006,66.6,0,0,0,0,0,0.021,0.04,0,4,2,1,0.04,0,0,0.001,0,0,0
Alcohol,Whiskey and soda,93301170,0,0,0,0,0,0,0,0,0,0.003,0,0,0.001,0,0,0.002,91.46,0,0,0,0,4,0.01,0.02,1,1,2,16,0.08,0,0,0,0,0,0
Alcohol,Whiskey and water,93301181,0,0,0,0,0,0,0,0,0,0.003,0,0,0.001,0,0,0.002,91.38,0,0,0,0,2,0.013,0.01,1,1,1,3,0.02,0,0,0,0,0,0
Alcohol,"Wine, rice",93401100,0,0,0,5,0,0,0,0,0,0,0.5,0,0,1.4,0,0,78.4,0,0,0,0,5,0.009,0.1,6,6,25,2,0.02,0,0,0,0,0,0
Coffee/Coffee drink,"Frozen mocha coffee drink, decaffeinated, nonfat",92102070,0,1,0,13.12,1,8.3,0,0,0,0.83,1.54,29,0.088,1.1,12.3,0.026,84.76,0.008,0.016,0.035,0.08,60,0.039,0.02,21,54,103,35,0.26,29,0.26,0.027,0,0,0
Coffee/Coffee drink,"Frozen mocha coffee drink, nonfat",92102010,0,1,0,13.07,1,8.6,0,0,0,0.851,1.54,28,0.088,1.1,12.24,0.026,84.82,0.008,0.016,0.036,0.08,60,0.039,0.02,22,54,103,35,0.26,28,0.26,0.027,0,0,0
Coffee/Coffee drink,"Frozen mocha coffee drink, decaffeinated",92102060,0,1,0,13.13,4,8.3,0,0,0,0.827,1.51,37,0.091,1,12.23,0.027,84,0.178,0.039,0.509,0.89,57,0.039,0.02,21,52,99,34,0.25,37,0.24,0.028,0.1,0.01,0.1
Coffee/Coffee drink,Frozen mocha coffee drink,92102000,0,1,0,13.07,4,8.6,0,0,0,0.849,1.5,37,0.091,1,12.17,0.027,84.06,0.178,0.04,0.507,0.88,57,0.039,0.02,21,52,99,34,0.25,37,0.24,0.028,0.1,0.02,0.1
Coffee/Coffee drink,"Frozen mocha coffee drink, decaffeinated, with non-dairy milk",92102080,0,0,0,13.19,0,6.2,0.1,0,0,0.886,0.68,32,0.073,0.7,11.9,0.007,85.09,0.212,0.257,0.077,0.58,68,0.079,0.18,20,18,70,43,0.13,32,0.19,0.008,0,0.63,0.7
Coffee/Coffee drink,"Frozen mocha coffee drink, with non-dairy milk",92102020,0,0,0,13.13,0,6.4,0.1,0,0,0.906,0.68,31,0.073,0.7,11.85,0.007,85.15,0.211,0.256,0.077,0.58,68,0.079,0.18,21,18,70,42,0.13,31,0.19,0.008,0,0.63,0.7
Coffee/Coffee drink,"Frozen mocha coffee drink, decaffeinated, nonfat, with whipped cream",92102100,0,5,0,12.59,7,8.8,0,0,0,0.79,1.61,48,0.093,1.2,11.81,0.025,83.35,0.479,0.097,1.226,1.94,60,0.038,0.02,20,54,102,34,0.26,48,0.25,0.027,0.1,0.05,0.2
